,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.60_1530.06,,,,1530.0552,ESI (-),5.596,26982,27669,23010,15288,27119,23181,7747,10505,15818,26140,24331,31314,6968,46823,23740,13977,59727,62031,37328,51155,38976,19826,48199,13141,26322,25229,18275,2183,26410,37323,48943,40137,62008,66749,18531,20744,34623,20444,20526,34533,28803,33715,21942,19094,29642,24815,21252,15634,82778,70975,95609,69780,55044,102550,6.25,62,6.25,6.25,6.25,66,6.25,130,6.25,6.25,6.25,6.25,120,6.25,32927,25880,27548,28453,31803,36359,35366
3.60_233.16,,,,233.1556,ESI (-),3.597,8484,12163,193010,106613,21614,65889,162585,93496,207521,36193,82076,35060,298818,46933,92866,142545,19257,10882,5435,7537,7360,80413,19144,14961,12683,41006,12335,788,1773,808,797,819,857,937,355,670,627,467,780,480,603,581,708,688,509,445,605,645,432,905,556,647,423,654,603,613,709,322,628,727,757,509,631,659,405,612,467,597,33149,34305,34428,32523,30763,34042,32999
5.49_491.36,,,,491.3597,ESI (-),5.494,49798,46205,46394,41277,33338,42008,53073,46171,45444,40242,45227,27942,58927,23624,53759,50763,35309,21605,26541,37684,25724,40993,42667,34445,30945,27925,36892,49900,29970,29513,29714,29439,30118,36589,52561,44110,19186,20202,23803,27720,20424,21678,21701,24396,21057,19185,23637,29452,24637,25342,38751,47560,24018,25794,60059,20894,20390,46392,46177,47737,47464,15651,4760,6507,7482,9328,9837,9368,36204,30750,28910,31890,29864,44781,44581
4.67_839.56,,,,839.5634,ESI (-),4.669,13975,31331,15421,32392,29230,35996,9095,20740,49075,26253,32004,51984,10160,36397,14951,15372,20271,28872,65889,63302,49799,40134,31383,27999,53724,43549,41079,14110,47552,66457,24365,24956,12844,24069,22203,16673,45147,36809,44590,71798,42859,46686,40498,39953,30630,48108,39512,40512,28874,26160,29318,31319,26236,32949,7645,6099,3232,6495,6884,7265,7039,9.23,133,166,9.23,224,144,160,36137,32285,34423,33859,33282,36929,35111
1.92_241.22,,,,241.2182,ESI (-),1.922,50655,51198,53632,45127,43865,51601,26287,31360,31115,62901,44837,71078,22738,54004,29485,37402,79427,58080,60575,38285,45114,27361,36061,34546,30267,35568,27222,15240,49576,26995,31370,24618,21310,17888,16978,17882,27244,14056,19844,22301,13611,15044,34227,19680,42918,29549,19087,61327,16938,27779,25113,19439,15496,20026,14363,10326,9982,34928,11221,13205,13757,10615,9759,12225,8499,10134,13429,11634,29939,32745,31745,30971,30450,33708,34639
7.69_819.64,,,,819.6394,ESI (-),7.691,54472,55737,52617,56836,39794,36658,39731,56223,52690,55095,64082,55099,40799,57759,38530,55795,51911,60871,26520,21674,16416,22566,19595,21872,15209,22006,18635,15775,20053,22773,41871,29917,34167,43238,31795,25684,22524,16052,14733,24832,18030,19746,14486,19865,27392,16555,18423,13036,40011,41967,36664,50876,26862,46359,12637,5906,7150,7937,8738,10893,11429,11768,6311,6803,7086,8074,10027,9966,48160,22283,35872,36035,38098,63241,50246
9.09_1475.99,,,,1475.995,ESI (-),9.093,22709,23238,26189,22845,50945,21314,18384,22480,19423,39968,25718,46891,8836,34915,20290,18258,44691,28646,37440,43849,43022,46369,35080,75675,54193,48545,20270,10422,43303,31873,18921,42001,36352,35397,19893,31236,41983,35205,34464,28325,42024,29392,48669,30628,28644,50482,29823,26989,37905,45196,34246,51617,26908,47571,10.26,10.26,129,104,106,105,10.26,292,279,137,10.26,161,219,10.26,34056,35214,37031,30145,29880,29121,28558
10.73_333.26,,,,333.2642,ESI (-),10.735,37558,22740,47462,36600,36328,66912,18827,16250,58312,23436,18621,21123,18936,21475,39386,35388,45059,19262,24981,19615,26783,25277,100478,33657,54348,22596,60235,15376,46306,28403,22852,32829,29193,21558,18508,59030,42003,33276,50663,19621,39710,22628,69996,23149,19796,49776,35245,76054,22707,25019,19555,19944,23720,20966,22240,78102,40713,29725,28592,22193,20548,8828,35791,21478,17577,10150,8583,7356,21090,80380,45293,30119,20940,19906,19291
4.17_491.36,,,,491.3603,ESI (-),4.173,24273,37314,31585,32673,38281,22347,18335,34169,19310,37757,41945,36538,22664,38705,35046,33959,35348,35956,35696,38099,37919,37935,26492,34294,31687,36642,25169,14312,32832,38422,36570,37588,38109,43901,34444,30667,39353,34714,35203,35556,41985,37079,24846,35323,37642,37987,34965,26708,37825,42559,34669,42155,37821,34666,9479,3439,4571,5180,6168,7016,7333,9150,3305,4521,4751,5590,5979,6021,42426,26030,36530,37791,36678,37239,35307
6.57_168.97,,,,168.9725,ESI (-),6.574,37166,6295,81448,44318,75704,110417,1973,1525,82253,4558,461,3694,912,744,61199,15203,84093,577,1363,465,11125,4951,159974,40354,119022,1505,53346,1248,49338,10423,1314,43158,22289,610,540,74568,58008,40605,66708,433,32645,1403,162792,2821,494,73185,15683,161895,6658,1750,581,582,1456,454,438,119141,42549,21554,1662,420,600,470,69851,55132,33439,2801,453,218,512,167453,54237,30384,1478,616,306
7.80_819.64,,,,819.6403,ESI (-),7.801,55206,54817,52607,52133,41429,51055,57281,54639,46386,53780,62764,54198,54194,57829,54232,57525,51684,58032,29414,22775,17533,20095,23233,17441,16394,24276,23584,14378,21644,23576,38065,36826,26179,39095,39992,24159,20323,13166,13404,23102,17651,19669,13821,21966,25003,15706,16786,13894,26927,29733,29991,34430,24977,42138,15087,6262,7248,10915,10722,18687,18406,13108,5582,7063,7181,8400,9935,9988,66008,39013,39671,43979,57977,48176,47414
6.38_703.49,,,,703.4921,ESI (-),6.381,37989,57868,35289,32216,14245,14227,11861,25015,8244,74944,31298,61657,16747,46436,21524,34061,25205,61601,77071,83902,61347,18855,38230,24160,28888,59686,46494,7390,44057,30615,29207,11887,14788,21919,9955,6275,43296,22759,13307,46934,20161,36333,25370,27260,79774,23068,27220,39155,16888,33870,57594,37322,21084,33274,300,258,90,412,312,517,666,8.96,190,99,182,107,97,124,46078,20151,26834,30561,40539,50810,50761
3.77_906.52,,,,906.5226,ESI (-),3.775,13598,33558,15330,15851,172337,17398,6250,16086,11138,21529,14780,55208,7752,40623,11420,14285,50084,66453,40498,24428,37527,14271,17877,21564,36559,35413,7201,7060,22498,37295,60703,42422,34088,48558,22504,25582,51558,20298,25990,28383,30252,25718,22194,43941,28405,32160,25116,35717,58969,41122,65528,60689,42221,66248,87,104,8.18,8.18,250,8.18,92,8.18,8.18,8.18,91,8.18,8.18,8.18,35307,27762,31275,31350,33050,37251,35653
3.65_868.52,,,,868.5214,ESI (-),3.652,3391,6299,10194,9373,5755,6192,11023,13362,6662,16864,13280,35023,1887,13413,7697,7751,11835,12820,104161,146727,80844,54080,94214,37247,58930,91725,60821,6398,83007,81810,42478,35189,54659,49716,28239,25555,37040,23626,37943,41913,26114,39976,35970,35936,16446,17915,24369,24690,25121,13939,17951,23798,19966,32152,8.35,84,8.35,8.35,156,8.35,101,90,96,8.35,89,8.35,8.35,8.35,35836,27113,30676,32012,34226,37461,36206
9.67_170.83,,,,170.8332,ESI (-),9.67,59315,64574,37223,52553,47232,25750,22789,13814,28872,67088,4082,61978,11800,4322,47326,72808,43391,3368,33505,3785,57215,62624,32803,43921,32262,34517,60254,5158,57879,61392,16366,38188,43598,6251,2581,32273,38314,31400,31088,3464,39798,27204,25262,48856,3270,37686,67337,31880,61734,44446,2807,3764,25625,4006,2048,36680,28257,24847,6612,1731,1474,1899,37209,27517,22392,6259,1449,1275,3632,27263,45654,57220,37448,3366,2775
10.52_333.26,,,,333.2638,ESI (-),10.521,48800,22592,48679,41376,36378,65246,17857,17442,56986,26023,18439,23003,19114,19757,37826,35038,49265,18214,24051,17799,24324,25201,120135,34080,60070,19454,57376,13279,42279,23899,22408,32404,27822,21584,18560,56174,36167,33835,40750,19706,37198,19129,71395,19530,18562,42423,25779,88644,21599,22221,18162,19515,21242,19557,18196,80399,41483,30889,19101,17018,15795,8565,35064,20130,16873,9837,6840,7465,20119,86427,42626,31536,21859,18539,17538
7.19_798.65,,,,798.6453,ESI (-),7.193,11303,17170,16389,16955,24967,17907,8368,13772,20814,21291,18124,30116,6787,39220,10216,15032,28046,57517,40852,65437,53931,31652,46553,34739,44468,54293,47597,17457,46232,54731,51358,51936,47373,59836,30534,24789,44783,33984,28027,36759,33940,34929,27436,27192,39520,31261,27061,20964,38691,34301,51552,32574,37369,57255,6181,186,1950,3588,5998,7530,4756,17.37,17.37,174,17.37,17.37,17.37,17.37,22250,27907,31743,31426,33988,40744,37546
9.15_717.57,,,,717.5724,ESI (-),9.151,40854,37325,33559,35592,33445,24609,27911,25176,24594,42533,38428,41494,40415,41439,37787,42202,35869,39266,44175,36605,35611,32891,32249,29294,27535,37079,40874,14454,33544,28691,41323,26626,25839,42693,33166,13629,27632,21581,25282,43562,27993,30614,18130,33742,40676,28680,35435,27952,31611,41374,37684,38735,34831,50485,17121,6210,7285,10420,12553,13287,13900,13531,5052,6265,7573,8588,10133,10698,46020,22885,32672,36186,37307,39029,40461
5.62_776.54,,,,776.5441,ESI (-),5.623,1328,4190,9.25,9.25,17800,2342,1474,11984,9.25,9.25,25258,88658,2071,73192,1439,9.25,3597,63521,39898,62010,16643,6696,9.25,16370,10296,42320,9.25,3783,16866,8065,54918,9.25,35988,30321,5324,9.25,42991,33505,9.25,83113,47506,93829,12804,40339,125704,32637,42595,9.25,66635,105474,165076,60928,76951,131857,5386,7559,2592,5241,6065,6587,5928,119,9.25,124,9.25,158,9.25,149,47914,10957,14786,22271,41719,56684,51638
6.50_795.60,,,,795.5955,ESI (-),6.5,24720,34229,26583,29706,25161,26245,30826,36364,24322,32883,44148,36760,28431,36741,25095,27942,29448,36705,33768,37015,31512,42696,27074,33954,29000,36104,30728,30337,32012,31760,41226,34789,36264,43940,44140,33422,30551,28006,30389,37383,32011,39630,28148,35330,38305,28471,30489,26763,38577,38385,38412,39518,42174,39410,35514,15451,11322,21534,30020,33039,32078,9772,4440,4533,4925,6024,6982,6795,45215,27026,30313,30248,39216,41924,41538
5.08_880.60,,,,880.598,ESI (-),5.077,16433,21825,19084,34442,34635,25208,16304,26362,27999,30601,44661,26670,11348,75870,12116,17930,38602,64238,23043,23784,28836,16429,29914,46726,19038,20832,23933,38282,11.94,19693,35903,57184,37519,38837,32871,37536,32040,39420,51893,42436,33398,54662,32932,46110,40309,27669,49874,41202,35623,37523,44854,27029,48662,45229,1122,908,648,1210,914,1359,1397,423,228,278,232,475,408,493,40014,13084,48089,45160,34511,44359,49970
6.16_860.64,,,,860.6397,ESI (-),6.161,4720,18550,5973,24258,108626,20996,3391,16968,21043,16917,20567,54397,3317,21529,7268,13625,15827,73246,98972,90813,77908,34601,61808,20217,49913,55777,70587,10097,61645,70757,30226,26793,16011,32245,24252,13873,25787,26238,33360,41006,38091,43498,37411,31497,21017,33233,31797,26815,18002,14031,22988,11089,24647,26905,78,18,79,108,165,1.83,328,173,1.83,1.83,104,148,1.83,189,34744,32019,34164,34539,33742,36242,36774
4.65_850.56,,,,850.5618,ESI (-),4.653,51912,59609,61010,49148,54919,80580,42879,58373,50703,51419,63645,80199,47228,74337,41601,59479,124514,52518,22236,22577,16433,15432,12422,15815,18589,19471,13841,10065,16704,21102,25442,18206,17798,15074,15976,20123,24006,14011,15886,26194,18054,18570,18480,17908,17444,17850,15762,17997,33872,19205,23466,30857,16347,34310,322,214,145,184,489,410,482,113,218,158,99,182,164,136,33632,29375,31202,31168,32475,34391,33142
6.52_168.97,,,,168.9725,ESI (-),6.516,37166,4562,81448,44318,72712,110417,1570,1077,82253,3810,461,3694,1017,299,38976,12573,90647,269,1203,465,8748,4548,159974,40354,123506,1066,45965,1192,49338,6179,967,47255,18745,320,493,75786,58008,37700,67408,552,28595,1513,162792,2821,494,80573,15683,161895,4990,1210,360,357,1314,395,706,96844,38307,22494,1670,614,525,388,57645,35144,25164,2559,92,218,225,167453,54237,23722,1478,360,269
7.54_695.58,,,,695.5788,ESI (-),7.541,13220,22601,24570,39373,30708,8861,8405,28565,21592,38613,43487,32212,7345,59735,19000,12189,23603,130723,81984,79700,96259,39040,70018,53407,33062,87320,56804,12375,42115,56143,55775,34951,51630,50844,26765,15796,16712,21296,10465,10013,22095,14735,16119,10432,21635,11344,9748,10629,22891,14086,22230,18333,13167,20313,154,2.38,102,109,113,113,2.38,2.38,150,96,108,2.38,2.38,2.38,41738,21195,28650,31371,37809,41764,41080
6.46_168.97,,,,168.9726,ESI (-),6.461,33174,3538,71860,38881,47851,96073,1916,1159,76770,3034,507,2122,476,434,36282,10501,90647,366,1203,310,7634,2674,166486,43233,157398,924,47138,1296,57852,4770,967,47255,15839,474,493,75786,71568,35958,73984,371,27892,1077,170317,2302,424,80573,15362,160309,3936,1172,449,357,912,336,706,73730,38307,22494,2303,615,525,426,57645,35603,25164,2559,423,166,394,158042,56282,22261,1349,360,286
5.78_874.58,,,,874.5807,ESI (-),5.782,19404,37863,29911,35409,27580,31583,21228,43149,30108,44095,33644,46782,10166,44578,29039,28572,27823,30872,35316,28667,20029,26880,16835,26306,29983,41134,19799,14709,31700,33682,37632,27037,21015,26620,20587,24936,43551,35786,37632,46386,37872,36827,31659,39278,40567,38472,34344,35720,44163,43343,52399,48881,36062,56328,11623,7666,4843,8646,10079,12158,11771,491,304,339,268,202,165,397,38233,28539,32994,33906,36115,41333,38931
5.92_776.55,,,,776.553,ESI (-),5.923,5407,10850,7659,16843,27718,6791,2860,9286,6131,12119,13705,66451,2219,30529,2904,4067,12566,23457,76951,32084,47757,30563,21286,7328,32395,57099,35289,6308,64664,24698,14780,27746,13856,39776,7957,3798,64242,41853,47069,112794,51228,49724,39390,76849,87480,88620,25281,25906,48048,36302,59125,30460,55885,46344,749,489,285,390,1144,2342,2420,9.31,9.31,9.31,94,93,9.31,9.31,47696,14562,30465,12559,41319,49539,46721
7.00_796.59,,,,796.5873,ESI (-),6.995,18290,24711,24632,22351,27932,20953,14935,21096,18143,71917,28461,37100,14406,67970,17501,21774,65470,55294,46265,45087,37767,27192,32435,21135,33738,39441,27783,12004,38314,39796,38610,25485,26250,31414,21645,18712,36265,29197,33464,38355,39537,41114,32133,34808,38767,31711,29538,27795,34974,42069,45898,38999,36891,43532,10402,4255,5338,5405,8715,10653,9950,7219,2785,3992,3554,5936,4225,3232,36834,27197,28875,31159,33622,38553,36984
5.45_760.53,,,,760.5299,ESI (-),5.45,6355,17370,9571,13317,37501,10762,3450,22643,17051,23452,21674,80455,4023,40739,5728,7334,17208,58624,72998,79703,54590,26869,15941,23636,22490,61462,21970,11908,37179,49365,30446,22778,24109,22646,12321,5409,63119,40008,37433,69710,55161,66474,36835,54431,49781,43938,45157,18278,30649,26258,48721,24455,46279,37374,1145,710,258,375,1150,8.57,494,8.57,138,161,8.57,161,8.57,99,36653,13257,28309,32926,39589,47664,49689
5.92_913.63,,,,913.6324,ESI (-),5.925,23886,34046,25650,22777,32453,37381,17617,32649,33586,32907,32741,60604,11199,51592,15232,17827,69241,38524,52374,53767,38494,38133,21062,34507,33440,42785,23647,16968,46458,43060,60924,45593,31021,42560,29767,44919,20881,25684,30768,32720,32282,27554,29953,27076,28192,28386,30949,25155,32348,19917,24674,30863,17069,29173,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,88,215,127,97,8.82,262,31731,29591,30643,32570,32194,33760,33906
6.07_804.56,,,,804.5565,ESI (-),6.066,17853,35972,25250,27548,50272,37650,18941,42591,34715,52551,54546,109814,10149,83752,14424,19508,46606,81775,52784,69999,33292,22306,14856,20761,17114,48030,18282,6483,22571,32075,35166,18406,20783,24617,10825,12109,28401,24843,24058,39604,29752,45201,20044,22099,50901,30258,25242,14266,28052,24844,38312,34075,21765,36090,2.68,2.68,2.68,2.68,2.68,148,2.68,2.68,134,96,136,191,2.68,27,41531,20648,25743,29326,35236,43600,43639
2.74_439.24,,,,439.2388,ESI (-),2.739,26049,32391,27561,31502,18932,16954,13421,19429,13409,40505,25754,40885,11656,34569,15462,21653,23079,44729,71365,97198,64261,24645,52346,24703,33688,52275,49156,11418,55801,45392,27881,21957,24528,29906,19850,11871,45188,23575,23183,30628,20681,32561,57182,21683,58362,28969,31361,43323,18381,44647,47366,26762,23628,22433,29958,14650,10313,20132,20847,25613,25048,2375,2589,2916,2947,2733,3113,2918,44819,27984,31570,32142,35356,41980,41890
9.61_170.83,,,,170.8332,ESI (-),9.606,59074,61094,35915,52553,45166,25772,21653,11452,27857,65293,4042,59827,11423,4009,47326,72808,41447,3136,33505,3785,57215,59654,32101,41151,32262,34517,60254,5026,49975,52612,17097,38188,43295,5557,2282,32273,40066,31203,32750,2973,40863,24107,25706,47912,3385,37686,63782,30251,54772,40391,2667,3446,25334,3885,1944,36453,27643,24120,6787,1738,1407,1933,37255,26701,22500,6633,1514,1662,3632,27422,45813,57220,34273,2885,2581
5.23_570.51,,,,570.5101,ESI (-),5.234,42456,31541,45473,41360,27498,34149,14561,22592,32915,34774,36671,35714,7433,45082,29063,27889,28849,44190,76577,70690,78826,65840,105976,69926,79307,61528,75330,12377,47945,62608,22588,23260,16502,20739,10965,16687,15494,13702,16404,11745,15664,16277,15105,9453,16516,19447,17308,14801,8814,14530,21385,11670,14378,6101,629,452,104,423,703,332,618,9.65,9.65,9.65,9.65,9.65,9.65,9.65,30824,37835,34852,32773,31379,33871,32725
5.11_868.55,,,,868.5522,ESI (-),5.114,25698,28384,30523,35015,31738,27209,20994,20483,19710,37855,26819,36755,20036,34972,31685,33112,36129,40414,27946,39686,35115,25749,37791,23876,32171,33670,37417,16384,37322,33568,29377,29650,30730,31679,20940,31216,45585,39277,37117,29552,49877,37062,36371,33324,35996,43400,39038,34019,35676,34640,37221,27926,33580,36986,989,311,187,210,482,258,503,115,244,226,97,115,9,102,28701,37656,32939,34460,30902,31318,29247
8.70_694.64,,,,694.6374,ESI (-),8.698,36304,41460,27768,33573,35524,20089,10088,17950,10781,98357,39661,62721,8466,97321,30347,35071,38254,79170,66953,43112,40648,26361,32703,31100,25738,57621,27511,5835,24807,25830,83266,43216,30343,40101,18595,15439,18392,16752,11771,24920,14585,13844,8542,14912,32531,18837,18178,13467,29653,27682,42540,27876,23478,37052,30831,11260,6455,20655,23194,29557,29999,10.8,10.8,10.8,10.8,108,113,111,37266,18350,30147,30880,33997,37495,37834
6.10_621.48,,,,621.4752,ESI (-),6.102,20543,59712,20222,10597,7662,8761,15565,9750,24390,6951,10437,9058,30340,13975,7222,10637,8117,6652,3404,8795,5419,30708,11664,9332,5883,12713,5765,48237,193372,29079,44770,68311,84852,63990,26203,59028,32591,19975,44960,36081,32067,36970,31619,44111,24655,19071,34682,62988,47674,47695,75927,62279,45814,64998,4544,6523,5547,4748,8481,8516,8694,4762,1671,1812,1576,1869,2206,2304,31889,35701,33706,32445,30836,32255,33478
8.74_1497.98,,,,1497.9767,ESI (-),8.741,22686,25651,26727,30352,32541,24088,14160,23390,17717,31380,20027,43245,7746,53729,22841,20049,44560,55039,26560,38052,26480,23937,26714,57991,29926,56345,13444,9027,21953,22008,24898,26556,62198,21197,11070,17222,40314,57374,27552,35652,31705,48095,29736,23916,48616,42132,43992,15943,52324,65246,61965,31841,28555,39686,5.95,5.95,109,5.95,192,5.95,5.95,167,5.95,133,110,299,121,214,21053,21183,45916,24929,39849,41447,39312
2.73_611.53,,,,611.527,ESI (-),2.734,2778,3128,6370,22448,1239,983,639,1549,588,11596,1421,17800,2.15,6780,541,1337,1362,19593,86492,111383,131551,5200,125386,16002,21636,38391,46014,764,136804,18586,3735,1855,13924,3009,747,607,107139,7254,2495,9756,2075,13568,303269,6071,96872,10598,11118,205723,855,53683,55516,3912,2393,959,1006,451,80,831,677,816,852,2.15,2.15,2.15,2.15,2.15,2.15,2.15,27183,15653,20039,21295,22111,22659,23554
4.77_932.55,,,,932.5531,ESI (-),4.772,20058,36667,23001,28864,44871,21305,5783,18260,13529,57074,10405,57660,6549,46425,17062,28524,49853,43453,51444,38922,49715,29337,29678,27691,36703,48895,25793,3944,52662,56493,41020,33462,41673,16965,5404,17211,32375,28833,27629,18537,50377,47579,18804,40001,35423,37336,28361,17311,61535,39631,33102,16453,67780,17661,342,97,174,244,331,627,619,106,134,8.96,8.96,8.96,8.96,8.96,13108,23913,32704,37758,40300,24848,24977
11.21_244.07,,,,244.065,ESI (-),11.214,47855,29162,15915,32230,15331,11879,16262,16014,12542,54363,30741,22642,21604,28420,14379,75366,17855,25923,47813,23567,44018,30766,48361,19859,25709,24627,35210,13848,22795,30707,46132,22031,23069,104221,52560,12610,36347,17129,18628,43902,20378,29314,13460,72229,35059,19352,30772,13429,22437,37871,28298,58120,62475,78549,43251,10601,14068,18872,25051,32292,33242,17578,7034,8695,8880,10698,11913,11388,53031,10329,18497,21390,31365,33872,28043
2.49_469.33,,,,469.3332,ESI (-),2.494,7877,6814,78810,69512,52700,60719,68298,68718,70009,72675,81136,80444,73875,75919,74147,62102,72623,73255,73519,65286,57141,59097,60512,59666,75196,68658,45967,1049,1151,1251,1414,1475,935,1120,1457,1066,1386,935,1194,992,1220,1290,1271,981,1050,1115,1355,877,1830,2320,2011,1974,1734,2139,4213,1988,2840,3510,2998,3128,2947,2509,2524,2558,2796,2064,2612,2705,37949,30471,34528,32718,33090,31118,30570
